priority_candidate,name,city,typology,typology_detail,segment,channel,project_role,physical_exhibition,exhibition_evidence,price_range,price_signal,service_scope,email,phone,address,main_channel,source_language,source_url,materials_brands_mentioned,key_messages,raw_notes
Yes,Lux Home Mebel,Tashkent,Kitchen,,B. Premium Kitchen & Custom Furniture Studios,Retail,,Yes,"Showroom located in Yunusabad District, Tashkent; site advertises free 3D visualization and in-person consultation with designers.",High,"Explicit 3-tier pricing: Economy (8-15M UZS), Standard (15-30M UZS), Premium (30M+ UZS) - positions itself across segments including premium | v2.0: resolved from ""Medium-High (mixed signals)"" -> High.",Design+Install+Supply,info@luxhome.uz,+998 99 805 58 58,"Tashkent, Yunusabad District",Website,Russian,https://www.luxhomemebel.uz/ru/kitchens,"EGGER and Kronospan boards (European), Blum and Hettich and DTC hardware, acrylic/HPL facades, AGT MDF","15+ years of experience, 500+ kitchen projects completed | 98% satisfied clients, 5-year warranty on all kitchen furniture | Premium segment for large spaces with additional storage/work zones","Also offers bedroom, wardrobe, hallway, office furniture and doors. Social: Instagram/Facebook/Telegram/YouTube @luxhomemebel."
No,Blackwood,Tashkent,Kitchen & Bath,"Custom furniture manufacturer covering kitchens, wardrobes, and bathroom furniture",A. Premium Materials & Bath Showrooms,Retail,,Not determinable,"Search snippet references a furniture catalog site (blackwood.uz); direct page fetch blocked (403), so showroom presence not independently confirmed.",High,"v2.0: inferred from segment positioning (A. Premium Materials & Bath Showrooms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,,,Tashkent (exact address not determinable - site blocked),Website,Russian,https://blackwood.uz/,Not determinable (page inaccessible),"Custom furniture: kitchens, wardrobes, dressing rooms, hallway, bedroom, living room, bathroom furniture | High quality at favorable prices",Found via WebSearch snippet only; direct scrape returned HTTP 403. Worth manual follow-up via Instagram/Telegram.
No,homed:t (h0design),Tashkent,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Yes,"Physical studio address given (Yashnabad District, Parkentskaya St. 180) with stated daily walk-in hours 10:00-20:00.",High,"Mid-premium: design from $20/m2, full turnkey renovation from $150/m2",Design+Build,,+998 70 197-05-49,"Tashkent, Yashnabad District, Parkentskaya Street, Building 180",Instagram,Russian,https://homedit.uz/design,"Taupe/beige palettes, wooden textures; sources materials/furnishings from local market",10+ years creating living spaces | 95% implementation accuracy on projects | Up to 20% savings on total renovation cost vs market,Instagram handle @h0design; also does commercial (restaurant/cafe/hotel/office) interiors and author supervision during construction.
Yes,Insydrium,Tashkent,Hybrid,"Interior design studio + architectural design/documentation, full-cycle to finishing with author supervision",C. Boutique Interior Design & Architecture Studios,Retail,,Yes,"Office address published (Furkata St. 169A, Tashkent); active across multiple cities (Moscow, Astana, Almaty, Tashkent, Bali, Istanbul) suggesting real operating offices.",High,"Premium-positioned; design projects from ~$30/m2; notable commercial clients (UZINFOCOM, KNAUF, Cambridge, Najot Ta'lim)",Design+Build,hello@insydrium.uz,+998 55 588 85 88,"Furkata Street 169A, Tashkent",Multiple,Russian,https://insidroom.com/,Not specified by brand; focuses on finishing/engineering package,"Full-cycle work: from design project and documentation to finishing and engineering with supervision | 25 qualified specialists, 10+ years experience, >95% repeat clients | A well-designed commercial space increases efficiency and strengthens brand image","Strong HoReCa/retail/office commercial portfolio in addition to residential; present on Facebook, Instagram, YouTube, Telegram, Behance, LinkedIn, Pinterest as @insydrium."
No,AI Studio,Tashkent,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Yes,"Physical office address published with defined walk-in hours (Mon-Sat 9:00-20:00), Mukimi 1st Lane, Building 8A.",High,"Tiered offering signals mid-to-premium: LITE $5/m2, PRO $15/m2, VIP $20/m2",Design+Build,aistudio.uz@gmail.com,+998 77 240-77-34,"Tashkent, Mukimi 1st Lane, Building 8A",Instagram,Russian,https://aistudio.uz/,Not determinable - no specific brand names given,"Projects with 100% realization guarantee | 50+ projects completed in 2024, up to 15 years of team experience | Answers to inquiries within 5 minutes",Also covers exterior/landscape/architectural/engineering design. Instagram/Telegram/YouTube @aistudiouz.
No,Nova Casa,Tashkent,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,"Address listed in secondary sources (Navoi 35, Tashkent) but not independently confirmed via own site (blocked); no explicit 'showroom' language found.",High,luxury / premier / TOP 100 award-recognized (Luxury Lifestyle Awards 2024),Design+Build,office@novacasa.uz,+998 90 003 99 11,"Navoi 35, Tashkent (per third-party listing)",Website,English,https://luxurylifestyleawards.com/winners/top-100-interior-designers/nova-casa-luxury-interior-design-tashkent,Not determinable,"Refined approach to luxury-class interiors | Setting new benchmarks in Uzbekistan's interior design landscape | Hundreds of completed projects for hotels, wedding halls, restaurants, private residences","Recognized in Luxury Lifestyle Awards Top 100 Interior Designers 2024. Own site novacasa.uz returned 403 on direct fetch; Facebook facebook.com/novacasa.uz, Instagram @novacasa.uz."
No,Studia 54,Tashkent,Hybrid,Interior design combined with architecture concept development,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,Direct site fetch blocked (403); no independent confirmation of a physical showroom found.,Medium,Not determinable,Design+Build,,,Not determinable,Website,English,https://studia-54.com/en/portfolioitems/design-private-house-turnkey-tashkent,Not determinable,Comprehensive approach weaving architecture and interior design together | Turnkey private villa design project delivered in Tashkent,Portfolio item found for a turnkey villa design in Tashkent; likely a regional studio with Tashkent project references - needs on-the-ground verification of local presence.
No,Studio Mint (Мята),Tashkent,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,"Site fetch blocked (403); search snippets show extensive Tashkent-specific project pages (by district) suggesting active local operations, but no explicit showroom evidence found.",High,"Not determinable, but portfolio breadth (500+) and cottage/exclusive projects suggest mid-to-premium",Design+Build,,,Not determinable,Website,Russian,https://tashkent.studio-mint.pro/,Not determinable,"500+ interior design projects across Tashkent neighborhoods | Combines comfort, functionality and elegance | Experience with complex projects incl. exclusive cottage developments",Appears to be a network/franchise design studio (studio-mint.pro) with a Tashkent-localized subdomain.
No,Art Deco,Tashkent,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,Direct site fetch returned no usable content; relying on search snippets only.,Medium,Not determinable,Design+Build,,,Not determinable,Website,Russian,https://artdeco.uz/,Not determinable,"Creates sketches for all elements of the future home, from electrical to heating systems | Maintains communication with clients throughout the project | Dedicated bathroom design sub-service (artdeco.uz/vannaya)","Also has a dedicated bathroom-design landing page, suggesting some Kitchen & Bath crossover; needs follow-up via Instagram/Telegram for contact details."
No,ARIA-Project,Tashkent,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,"Physical office address confirmed (A. Navoi St. 22, Shaykhontour District) but no explicit showroom/exhibition space mentioned - typical project-based architecture office.",Medium,"Not explicit, but 15-year track record and scope (multi-story residential, commercial, industrial) signal established mid-to-high tier",Design only,aria-proekt@mail.ru,+998 90 712-79-52,"Tashkent, Shaykhontour District, A. Navoi St., 22",Instagram,Russian,https://aria.uz/,Not determinable,"Among the most well-known firms in the design field, 15 years of stable development | The best result on the market | Explicitly does not participate in construction - design/architecture only, no construction liability","Services include multi-story residential design, commercial/public/industrial facility design, topographic/geological surveys, construction supervision (oversight, not build), EIA (ZVOS). Instagram @aria_proekt."
