project_name,developer,location,status,scale,estimated_delivery,source_url,notes
Crystal Avenue,UET Construction (EPC/co-developer) + AL-BINA Development (sales & marketing partner) + IMAN Holding (financing partner),"District 1, New Tashkent",En construcción / En venta (Fase 2 de ventas abierta),"12 plantas, 212 residencias, posicionamiento business-class / ""smart luxury""",Ventas de Fase 1 lanzadas 6 dic 2025; Fase 2 abierta poco después; presentación oficial en obra 29 nov 2025. Fecha de entrega de obra no publicada.,https://crystal-avenue.uz/ ; https://www.gazeta.uz/ru/2025/12/01/crystal-avenue/ ; https://uetconstruction.com/,"Re-verificado en esta pasada (pass 3). El proyecto más avanzado y mejor documentado de New Tashkent. Se presenta como ""el avenue principal de la nueva capital"". Ubicado en el Distrito 1, el clúster de crecimiento clave de New Tashkent. 20.000 ha totales / 2,5M habitantes proyectados para todo New Tashkent, según la propia web del proyecto."
"Ostona (distrito ""Astana"")","BI Group (developer kazajo, en asociación con Murad Buildings)",New Tashkent (dentro de la zona de primera fase de 6.000 ha),En construcción (lanzado nov 2025),"10,5 ha (fase 1), 3.162 apartamentos planeados, inversión total $200M, 25.660 m² área de construcción (cifra de fase 1)",Ceremonia de inicio de obra 15 nov 2025; sin fecha pública de finalización,https://www.spot.uz/oz/2025/11/15/new-tashkent ; https://bi.group/en/news/bi-group-nachinaet-stroitelstvo-kvartala-astana-v-novom-tashkente,"Confirmado en esta pasada que BI Group trabaja en asociación con Murad Buildings (MBC) en la construcción de viviendas en Tashkent, reforzando la credibilidad de ejecución de este proyecto."
Sharq Bahori (Fase 1 y Fase 2),"Sharq Bahori / Sharq Development Group (nombre del developer coincide con el del proyecto; logo propio destacado en la cabecera del sitio oficial de la Dirección de New Tashkent, sugiriendo estatus de proyecto insignia)","Centro de New Tashkent, a ambos lados de los edificios ministeriales; ~100m de una estación de metro planificada",En construcción,"ACTUALIZADO esta pasada: 1,8 millones de m² de superficie construida total, 260 bloques, 13.879 unidades residenciales + 1.121 locales comerciales, 100.000 m² de zonas verdes. Modelo ""ciudad de 15 minutos"", 100% infraestructura inteligente y 100% energía renovable (según fuente oficial).","Sin fecha de entrega explícita publicada. Actualización oficial de obra (30 dic 2025): 'Sharq Bahori: 1,8 millones de m² de trabajos de construcción' en curso.",https://sharqbahoriuylari.com/ ; https://www.spot.uz/ru/2025/12/15/sharq-bahori/ ; https://newtashkent.uz/construction.html,"Descrito como el primer gran complejo residencial de New Tashkent (""la махалля central""). Acabados mencionados: parquet laminado, cerámica, carpintería de estándar alemán, aislamiento XPS. Datos de escala ampliados sustancialmente en esta pasada respecto a la pasada 2."
Centro Internacional de Investigación Científica Alisher Navoi,Zaha Hadid Architects (diseño); cliente/promotor institucional no confirmado con nombre propio,"New Tashkent, distrito cultural",Anunciado / En diseño,"Complejo cultural-educativo que integra museo de literatura, centro de investigación, escuela musical y auditorio","""Срок уточняется"" (plazo por confirmar), según el catálogo oficial de proyectos de newtashkent.uz",https://newtashkent.uz/project.html?type=architecture&id=navoi ; https://www.zaha-hadid.com/,Confirmado en el catálogo oficial de proyectos arquitectónicos de New Tashkent (newtashkent.uz) como proyecto sin cronograma confirmado todavía.
Sarbon,Murad Buildings (MBC),New Tashkent,Anunciado (fase de early-access / teaser de ventas),"No publicada (landing de acceso anticipado sin unidades, superficie ni plano de conjunto detallado)",No determinable,https://www.mbc.uz/en/teaser/sarbon ; https://mbc.uz/en,"NUEVO hallazgo de esta pasada. Murad Buildings es un developer-contratista de Tashkent muy consolidado (16-22 años en el mercado, 4.000+ proyectos, 700.000+ m² de área de proyecto, incluye 'Nest One', el primer rascacielos de Uzbekistan). Sarbon es su primer proyecto explícitamente anunciado dentro de New Tashkent."
Markaz Yangi Toshkent,Markaz Group,"New Tashkent, cerca del centro de desarrollo (""Yangi Toshkent rivojlanish markazi"")",Anunciado / En venta (fase de comercialización temprana),"Complejo residencial familiar de posicionamiento comfort: patios sin coches, parques infantiles, zonas deportivas, parking subterráneo y en superficie, locales comerciales en planta baja. Superficie total y nº de unidades no publicados.",No determinable,https://markazgroup.uz/uz,"NUEVO hallazgo de esta pasada. Posicionamiento comfort/familiar, no premium (a diferencia de Crystal Avenue). Contacto de ventas vía Telegram @markaztoshkent."
Toshkent Plaza (complejo comercial y de negocios),"""Choice Nova TAN"" LLC (cliente/promotor); TAN GROUP como contratista general","Tashkent (ubicación exacta respecto al límite administrativo de New Tashkent NO confirmada; posiblemente Tashkent ciudad, no distrito de New Tashkent)",En construcción,"Complejo comercial y de negocios de gran escala, multi-torre; TAN GROUP actuó como ""socio principal"" en la ejecución del contrato general",2024-2026 (periodo de ejecución del contrato general declarado por TAN GROUP),https://tangroup.uz/ru/project/toshkent-plaza,"NUEVO hallazgo de esta pasada. Incluido bajo el criterio de ""desarrollo de escala equivalente"" del brief, pero con advertencia expresa: no se ha podido confirmar de forma independiente que el emplazamiento esté dentro del perímetro administrativo de New Tashkent (podría ser Tashkent ciudad). Verificar ubicación antes de usar en outreach específico de New Tashkent."
Tashkent Arena (estadio),Dirección de Construcción de New Tashkent (promotor institucional); arquitecto: Bahadir Kul Architects,"New Tashkent, infraestructura deportiva",En construcción (65% completado a 27.07.2026),"Estadio de fútbol cubierto de 55.000 espectadores, 6 plantas, 3 campos de entrenamiento, 45.500 plazas de aparcamiento; sede prevista de semifinal y final del Mundial Sub-20 de 2027 (FIFA)",Cimentación al 95% en marzo 2026; 65% de avance general a 27.07.2026; objetivo de uso: Mundial Sub-20 2027,https://newtashkent.uz/project.html?type=architecture&id=arena ; https://president.uz/ru/lists/view/9457,"NUEVO hallazgo de esta pasada, vía catálogo oficial de proyectos arquitectónicos de newtashkent.uz. Primera piedra: 11 nov 2025."
Biblioteca Nacional de Uzbekistán,Dirección de Construcción de New Tashkent (promotor institucional),"New Tashkent, distrito educativo/cultural",En construcción (90% completado a 27.07.2026),"Más de 30.000 m², salas de lectura, bases de datos digitales y espacios públicos",90% de avance a 27.07.2026; entrega inminente,https://newtashkent.uz/project.html?type=architecture&id=national-library ; https://newtashkent.uz/construction.html,NUEVO hallazgo de esta pasada.
Campus Universidad Nizami (Universidad Pedagógica Nacional),Dirección de Construcción de New Tashkent (promotor institucional),"New Tashkent, clúster educativo","En construcción (acabados finales, julio 2026)","Campus universitario integral: docencia, investigación, residencia de estudiantes, deporte y cultura",Acabados finales en curso a julio 2026,https://newtashkent.uz/project.html?type=architecture&id=nizami,NUEVO hallazgo de esta pasada.
Complejo del Ministerio de Energía,Dirección de Construcción de New Tashkent (promotor institucional) / Ministerio de Energía de Uzbekistán,"New Tashkent, zona administrativa","Anunciado (fase de concepto, abril 2026)","Conjunto administrativo con torre de gran altura, cuerpos de trabajo alargados, entrada principal monumental y urbanización de la parcela",No determinable (fase de concepto),https://newtashkent.uz/project.html?type=architecture&id=energy-ministry,NUEVO hallazgo de esta pasada.
