id_actor,name,city,typology,typology_detail,channel,canal_secundario,physical_exhibition,exhibition_evidence,price_range,price_signal,service_scope,email,phone,address,main_channel,source_language,source_url,materials_brands_mentioned,key_messages,raw_notes,data_source,tool_used,priority_candidate_v2,_source_file,is_priority,priority_rank,entry_angle,project_role
insydrium-tashkent,Insydrium,Tashkent,Hybrid,"Interior design studio + architectural design/documentation, full-cycle to finishing with author supervision",Proyectos,Retail,Yes,"Office address published (Furkata St. 169A, Tashkent); active across multiple cities (Moscow, Astana, Almaty, Tashkent, Bali, Istanbul) suggesting real operating offices.",High,"Premium-positioned; design projects from ~$30/m2; notable commercial clients (UZINFOCOM, KNAUF, Cambridge, Najot Ta'lim)",Design+Build,hello@insydrium.uz,+998 55 588 85 88,"Furkata Street 169A, Tashkent",Multiple,Russian,https://insidroom.com/,Not specified by brand; focuses on finishing/engineering package,"Full-cycle work: from design project and documentation to finishing and engineering with supervision | 25 qualified specialists, 10+ years experience, >95% repeat clients | A well-designed commercial space increases efficiency and strengthens brand image","Strong HoReCa/retail/office commercial portfolio in addition to residential; present on Facebook, Instagram, YouTube, Telegram, Behance, LinkedIn, Pinterest as @insydrium. | v3.0 reclass: Named corporate/commercial clients (UZINFOCOM, KNAUF, Cambridge, Najot Ta'lim) and strong HoReCa/office commercial portfolio alongside residential work -> dual-listed Retail + Proyectos.",existing_v2_reclassified,n/a (reclassification only),Yes,proyectos_dataset_seed.json,,,,
nova-casa-tashkent,Nova Casa,Tashkent,Interior Designer (Proyectos),,Proyectos,Retail,Not determinable,"Address listed in secondary sources (Navoi 35, Tashkent) but not independently confirmed via own site (blocked); no explicit 'showroom' language found.",High,luxury / premier / TOP 100 award-recognized (Luxury Lifestyle Awards 2024),Design+Build,office@novacasa.uz,+998 90 003 99 11,"Navoi 35, Tashkent (per third-party listing)",Website,English,https://luxurylifestyleawards.com/winners/top-100-interior-designers/nova-casa-luxury-interior-design-tashkent,Not determinable,"Refined approach to luxury-class interiors | Setting new benchmarks in Uzbekistan's interior design landscape | Hundreds of completed projects for hotels, wedding halls, restaurants, private residences","Recognized in Luxury Lifestyle Awards Top 100 Interior Designers 2024. Own site novacasa.uz returned 403 on direct fetch; Facebook facebook.com/novacasa.uz, Instagram @novacasa.uz. | v3.0 reclass: Explicit hospitality/events portfolio (hotels, wedding halls, restaurants) alongside private residences -> dual-listed Retail + Proyectos.",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
aria-project-tashkent,ARIA-Project,Tashkent,Architecture Studio,,Proyectos,,Not determinable,"Physical office address confirmed (A. Navoi St. 22, Shaykhontour District) but no explicit showroom/exhibition space mentioned - typical project-based architecture office.",Medium,"Not explicit, but 15-year track record and scope (multi-story residential, commercial, industrial) signal established mid-to-high tier",Design only,aria-proekt@mail.ru,+998 90 712-79-52,"Tashkent, Shaykhontour District, A. Navoi St., 22",Instagram,Russian,https://aria.uz/,Not determinable,"Among the most well-known firms in the design field, 15 years of stable development | The best result on the market | Explicitly does not participate in construction - design/architecture only, no construction liability","Services include multi-story residential design, commercial/public/industrial facility design, topographic/geological surveys, construction supervision (oversight, not build), EIA (ZVOS). Instagram @aria_proekt. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
bloom-arch-tashkent,Bloom Arch,Tashkent,Architecture Studio,,Proyectos,,No,"Office address given (Maqtumquli 93/2) but described as a design studio/office, not a materials showroom.",Medium,"Not explicit but portfolio includes residential complexes, commercial developments and eco-city master plans - signals higher-end commissions",Design+Build,info@bloomarch.uz,+998 88 022 78 33,"Maqtumquli 93/2, Tashkent, Uzbekistan 100000",Instagram,English,https://bloomarch.uz/,Not determinable,"Customized and scalable design solutions | Meaningful architecture that makes daily life more comfortable, beautiful and functional | Professional team of architects, engineers and designers","Also does interior design for hotels/restaurants/offices/shops, urban master planning, and author's supervision. Instagram @bloomarchstudio; also on LinkedIn and Behance. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
neostyle-tashkent,NeoStyle,Tashkent,Hybrid,Architecture/design studio combined with full renovation & finishing (remont i otdelka) contracting,Proyectos,Retail,Not determinable,Site fetch blocked (403) on multiple pages; no independent confirmation of showroom.,Medium,Not determinable,Design+Build,,,Not determinable,Website,Russian,https://www.neostyle.uz/uslugi/architektura,Not determinable,"150+ completed projects for private clients and large companies | Full service: architecture, interior design, renovation and finishing under one roof","Combines architecture services (neostyle.uz/uslugi/architektura) with renovation/finishing services (neostyle.uz/uslugi/remont-i-otdelka) - a Design+Build hybrid worth deeper follow-up. | v2.0 cross-check: also found independently via Instagram (@neostyle.uz) under the query ""budget/economy turnkey renovation"" — confirms this account as findable through both premium-architecture and budget-renovation search angles. | v3.0 reclass: Source explicitly splits its client base into ""private clients and large companies"" -> dual-listed Retail + Proyectos.",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
premium-stroy-tashkent,Premium Stroy,Tashkent,Contractor,,Proyectos,,Yes,"Physical office address with daily walk-in hours (09:00-22:00) published at Babura Street 21A, Yakkasaray District.",High,"Name and messaging signal 'premium' positioning explicitly (""Premium Stroy"")",Design+Build,premiumstroyuz@yandex.ru,+998 99 774 42 39,"Tashkent, Yakkasaray District, Babura Street 21A",Instagram,Russian,https://premiumstroy.uz/about,Partners with major international furniture manufacturers (unnamed),"High quality (ВЫСОКОЕ КАЧЕСТВО) professional high-quality repair services | Management team with European and Russian work experience | 10+ years of experience across residential, commercial, office and cottage projects","Services: cosmetic/euro/capital/designer repairs, turnkey renovation, interior design, plumbing, electrical, landscape work. Instagram @premiumuzstroy, Telegram @omgfarik. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),Yes,proyectos_dataset_seed.json,,,,
elite-remont-tashkent,Elite Remont,Tashkent,Contractor,,Proyectos,,Not determinable,Direct site fetch failed (server error); relying on search snippet only.,High,"""Elite"" (элитный) in brand name signals premium positioning",Design+Build,,,Not determinable,Website,Russian,https://elite-remont.uz/,Not determinable,Turnkey apartment and house renovation across Uzbekistan | Guarantee of transparency and quality of work,"Needs follow-up scrape/social lookup - technical error prevented full extraction. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
azen-group-tashkent,Azen Group,Tashkent,Contractor,,Proyectos,,Not determinable,Direct site fetch blocked (403); relying on search snippet only.,Medium,Not determinable,Design+Build,,,Not determinable (operates in Tashkent and Samarkand),Website,Russian,https://azen-group.uz/,Not determinable,Turnkey apartment and office renovation in Tashkent and Samarkand,"Multi-city contractor (Tashkent + Samarkand); needs follow-up via Instagram/Telegram. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
nrg-tashkent,NRG,Tashkent,Developer,,Proyectos,,Not determinable,"Large active developer (188,430 sqm built, 225 staff) with multiple residential complexes; sales offices likely exist per project but not itemized in sources found.",High,Segments span Comfort/Business/Premium - explicit Premium tier exists,Design+Build+Develop,,1060 (short number),"Tashkent (multiple project sites incl. Yunusabad, Mirzo-Ulugbek)",Website,Russian,https://realting.uz/developers/nrg,Smart-home technology integration,"One of the largest developers in the Tashkent real estate market, founded 2020 | Comfort, Business and Premium category residential complexes | Quality, safety, comfort, innovation and smart-technologies","9 active projects incl. NRG Yangi Baxt, NRG Qorasuv, NRG Hayot, NRG ZAMON, NRG Yunusabad. Official site www.u-nrg.uz (timed out on direct fetch). | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
golden-house-development-infinity-club-house-tashkent,Golden House Development (INFINITY Club House),Tashkent,Developer,,Proyectos,,Yes,"Dedicated sales office in Infinity business center, Yashnabad District, with daily 9:00-19:00 hours - functions as a project showroom for prospective buyers.",High,luxury / premium-class / exclusive club residence - top of market positioning,Design+Build+Develop,,+998 78 150-11-11,"Yashnabad District, 5th lane of Sadyk Azimov, ""Infinity"" business center, Tashkent",Multiple,Russian,https://gh.uz/infinity/,Natural finishing materials in common areas; architectural design by Benoy and Chapman & Taylor (international design firms),Luxury premium-class residence (Роскошная резиденция премиум класса) | First and only house meeting 'club parameters' - only 35 exclusive apartments | An island of tranquility where city noise doesn't reach,"Social: facebook.com/goldenhouseuz, instagram.com/goldenhouseuz, t.me/goldenhouseuz, YouTube channel. Strong candidate for premium retail material placement given INFINITY's exclusive positioning. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),Yes,proyectos_dataset_seed.json,true,8,"Confirmed sales-office showroom, 35-unit exclusive club residence — framework supply agreement for the show-flat, option to scale to full-phase supply.",
